标记	英文	音标	中文
	relieve	ri5li:v	vt.减轻, 解除, 援救, 救济, 换班
	religion	ri5lidVEn	n.宗教, 信仰
	religious	ri5lidVEs	adj.信奉宗教的, 虔诚的, 宗教上的, 修道的, 严谨的n.僧侣, 尼姑, 修道士
	relish	5reliF	n.意味
	reluctant	ri5lQktEnt	adj.不顾的, 勉强的, 难得到的, 难处理的
	rely	ri5lai	v.依赖, 依靠, 信赖, 信任, 依赖于
	remain	ri5mein	vi.保持, 逗留, 剩余, 残存
	remainder	ri5meindE	n.残余, 剩余物, 其他的人, [数]余数v.廉价出售adj.剩余的, 出售剩书的
	remains	rI5meIns	n.残余, 遗迹, 遗体
	remark	ri5mB:k	n.备注, 评论, 注意, 注释vt.评论, 注意, 谈及vi.谈论
	remarkable	ri5mB:kEbl	adj.不平常的, 非凡的, 值得注意的, 显著的
	remedy	5remidi	n.药物, 治疗法, 补救, 赔偿vt.治疗, 补救, 矫正, 修缮, 修补
	remember	ri5membE	vt.回忆起, 铭记, 纪念vi.记得
	remind	ri5maind	vt.提醒, 使想起
	remnant	5remnEnt	n.残余, 剩余, 零料, 残迹adj.剩余的, 残留的
	remote	ri5mEut	adj.遥远的, 偏僻的, 细微的
	removal	ri5mu:vEl	n.移动, 免职, 切除
	remove	ri5mu:v	vt.移动, 开除, 移交vi.迁移, 搬家n.移动, 距离, 班级, 升级
	renaissance	rE5neisEns	n.复兴, 复活, 新生, 文艺复兴, 文艺复兴时期
	render	5rendE	vt.呈递, 归还, 着色, 汇报, 致使, 放弃, 表演, 实施vi.给予补偿n.交纳, 粉刷, 打底
	renew	ri5nju:	vt.使更新, 使恢复, 重申, 补充, 续借, 复兴vi.更新, 重新开始
	renovate	5renEuveit	vt.革新, 刷新, 修复
	rent	rent	v.租, 租借, 出租n.租金
	repair	ri5pZE	n.修理, 修补vt.修理, 修补, 补救, 纠正
	repay	ri(:)5pei	v.偿还, 报答, 报复
	repeat	ri5pi:t	n.重复, 反复vt.重做, 复述, 向他人转述, 复制, 使再现vi.重复, 留有味道
	repeatedly	rI5pi:tIdlI	adv.重复地, 再三地
	repel	ri5pel	vt.击退, 抵制, 使厌恶, 使不愉快
	repertoire	5repEtwB:	n.(准备好演出的)节目, 保留剧目, (计算机的)指令表, 指令系统, <美>(某个人的)全部技能
	repetition	7repi5tiFEn	n.重复, 循环, 复制品, 副本
	replace	ri(:)5pleis	vt.取代, 替换, 代替, 把...放回原处
	replacement	ri5pleismEnt	n.归还, 复位, 交换, 代替者, 补充兵员, 置换, 移位
	reply	ri5plai	n.答复, 报复, 答辩vi.答复, 回击, 报复, 答辩vt.回答
	report	ri5pC:t	n.报告, 传说, 谣言, 声誉, 名声, 爆炸声v.报导, 汇报, 报到, 告发
	reporter	ri5pC:tE	n.记者, 通讯员
	represent	7ri:pri5zent	vt.表现, 描绘, 声称, 象征, 扮演, 回忆, 再赠送, 再上演vi.提出异议
	representative	7repri5zentEtiv	n.代表adj.典型的, 有代表性的
	repression	ri5preFEn	n.镇压, 抑制, 抑压
	reproach	ri5prEutF	v.责备
	reproduce	7ri:prE5dju:s	v.繁殖, 再生, 复制, 使...在脑海中重现
	reptile	5reptail	n.爬虫动物, 卑鄙的人adj.爬行的, 爬虫类的, 卑鄙的
	republic	ri5pQblik	n.共和国, 共和政体adj.共和的
	republican	ri5pQblikEn	adj.共和国的, 共和政体的, 共和主义的, 有关共和的n.共和党人
	reputation	7repju(:)5teiFEn	n.名誉, 名声
	request	ri5kwest	vt.请求, 要求n.请求, 要求, 邀请
	require	ri5kwaiE	vt.需要, 要求, 命令
	requirement	ri5kwaiEmEnt	n.需求, 要求, 必要条件, 需要的东西, 要求必备的条件
	rescue	5reskju:	vt.援救, 营救n.援救, 营救
	research	ri5sE:tF	n.研究, 调查vi.研究, 调查
	resemblance	ri5zemblEns	n.类同之处
	resemble	ri5zembl	vt.象, 类似
	resent	ri5zent	v.愤恨, 怨恨
	reservation	7rezE5veiFEn	n.保留, (旅馆房间等)预定, 预约
	reserve	ri5zE:v	n.储备(物), 储藏量, 预备队vt.储备, 保存, 保留, 预定, 预约
	reservoir	5rezEvwB:	n.水库, 蓄水池
	residence	5rezidEns	n.居住, 住处
	resident	5rezidEnt	n.居民adj.居住的, 常驻的
	resign	ri5zain	n.辞去(职务)v.辞去, 辞职
	resist	ri5zist	vt.抵抗, 反抗, 抗, 忍得住
	resistance	ri5zistEns	n.反抗, 抵抗, 抵抗力, 阻力, 电阻, 阻抗
	resistant	ri5zistEnt	adj.抵抗的, 有抵抗力的
	resolute	5rezElju:t	adj.坚决的
	resolution	7rezE5lju:FEn	n.坚定, 决心, 决定, 决议
	resolve	ri5zClv	n.决心v.决心, 决定, 决心要, (使)分解, 溶解, 解决vt.解决
	resort	ri5zC:t	vi.求助, 诉诸, 采取(某种手段等), 常去n.凭借, 手段, 常去之地, 胜地
	resource	ri5sC:s	n.资源, 财力, 办法, 智谋
	respect	ris5pekt	n.尊敬, 敬重, 注意, 考虑, 尊重, 关系, 有关, 敬意vt.尊敬, 尊重, 不防碍
	respective	ris5pektiv	adj.分别的, 各自的
	respond	ris5pCnd	v.回答, 响应, 作出反应vi.有反应
	response	ris5pCns	n.回答, 响应, 反应
	responsibility	ris7pCnsE5biliti	n.责任, 职责
	responsible	ris5pCnsEbl	adj.有责任的, 可靠的, 可依赖的, 负责的
	rest	rest	n.休息, 静止, 支持物, 台, 架, [音]休止符, 其余, 其他vi.休息, 睡眠, 静止, 依靠, 搁在, 保持(状态), 取决于vt.使休息, 使静止, 睡眠, 依靠, 搁在
	restaurant	5restEr:N, -rCnt	n.餐馆, 饭店
	restless	5restlis	adj.得不到休息的, 不平静的, 不安宁的
	restore	ris5tC:	vt.恢复, 使回复, 归还, 交还, 修复, 重建
	restrain	ris5trein	vt.抑制, 制止
	restraint	ris5treint	n.抑制, 制止, 克制
	restrict	ris5trikt	vt.限制, 约束, 限定
	result	ri5zQlt	n.结果, 成效, 计算结果vi.起因, 由于, 以...为结果, 导致
	resultant	ri5zQltEnt	adj.作为结果而发生的, 合成的
	resume	ri5zju:m	n.摘要, 概略, <美> 履历vt.再继续, 重新开始, 重新占用, 再用, 恢复
	retail	5ri:teil	n.零售adj.零售的vt.零售, 转述vi.零售adv.以零售方式
	retain	ri5tein	vt.保持, 保留
	retention	ri5tenFEn	保持力
	retire	ri5taiE	vi.退休, 引退, 退却, 撤退, 就寝
	retort	ri5tC:t	v.反驳, 反击, 回报n.曲颈甑, 曲颈瓶, 蒸器
	retreat	ri5tri:t	vi.撤退, 退却n.撤退, 退却
	retrieve	ri5tri:v	v.重新得到n.找回
	retrospect	5retrEuspekt	n.回顾
	return	ri5tE:n	n.回来, 返回, 来回票, 利润, 回答adj.返回的, 回程的, 报答的, 反向的, 重现的vi.回返, 归还vt.归还, 回报, 报告, 获得, 回答, 返回
	reveal	ri5vi:l	vt.展现, 显示, 揭示, 暴露
	revelation	7revi5leiFEn	n.显示, 揭露, 被揭露的事, 新发现, 启示, 揭示
	revenge	ri5vendV	n.报仇, 复仇vt.替...报仇, 复仇
	revenue	5revinju:	n.收入, 国家的收入, 税收
	reverse	ri5vE:s	n.相反, 背面, 反面, 倒退adj.相反的, 倒转的, 颠倒的vt.颠倒, 倒转
	review	ri5vju:	vt.回顾, 复习n.回顾, 复习, 评论
	revise	ri5vaiz	vt.修订, 校订, 修正, 修改
	revive	ri5vaiv	v.(使)苏醒, (使)复兴, (使)复活, (使)再生效, 回想
	revolt	ri5vEult	v.反抗, 起义, 反叛, 反感, 厌恶
	revolution	7revE5lu:FEn	n.革命, 旋转
	revolutionary	5revE5lu:FEnEri	adj.革命的
	revolve	ri5vClv	v.(使)旋转, 考虑, 循环出现
	reward	ri5wC:d	n.报酬, 奖金vt.酬劳, 奖赏
	rhythm	5riTEm, 5riWEm	n.节奏, 韵律
	rib	rib	n.肋骨
	ribbon	5ribEn	n.缎带, 丝带, 带, 带状物, 带子
	rice	rais	n.稻, 米
	rich	ritF	adj.富的, 有钱的, 富有的, 富饶的, 肥沃的, 充足的, 丰富的
	rid	rid	vt.使摆脱, 使去掉
	riddle	5ridl	n.谜, 谜语, 神秘人物v.解谜, 出谜, 迷惑
	ride	raid	v.骑, 乘n.骑, 乘
	ridge	ridV	n.背脊, 山脊, 屋脊, 山脉, 犁垄v.起皱, 成脊状延伸, 翻土作垄
	ridiculous	ri5dikjulEs	adj.荒谬的, 可笑的
	rifle	5raifl	n.来复枪, 步枪, 来复线, 膛线vt.用步枪射击, 抢夺vi.掠夺
	right	rait	n.正义, 公正, 正确, 权利, 右边, 右派adj.正当的, 正确的, 对的, 合适的, 恰当的, 健康的, 健全的, 正面的adv.正当地, 正确地, 一直地, 直接地, 完全地, 彻底地, 在右边
	rigid	5ridVid	adj.刚硬的, 刚性的, 严格的
	rigorous	5ri^ErEs	adj.严格的, 严厉的, 严酷的, 严峻的
	rim	rim	n.边, 轮缘, 蓝框vt.镶边, 为...装边, 沿...边缘滚动vi.形成边状
	ring	riN	n.环, 环形物, 环状, 铃声, 声调, 打电话, 拳击场vt.包围, 套住, 按铃, 敲钟vi.成环形, 响, 鸣, 敲钟, 回响, 按铃
	riot	5raiEt	n.暴乱, 骚动, (植物, 疾病等)蔓延, 放荡, 暴动v.骚乱, 放纵, 挥霍, 参加骚动
	rip	rip	v.撕, 剥, 劈, 锯, 裂开, 撕裂n.裂口, 裂缝
	ripe	raip	adj.熟的, 成熟的, 时机成熟的v.成熟
	rise	raiz	n.上升, 增加, 上涨, 高地, 小山, 发生, 出现vi.升起, 起身, 发源, 起义, 高耸, 增长, 上升, 复活vt.使飞起
	risk	risk	vt.冒...的危险n.冒险, 风险
	ritual	5ritjuEl	n.典礼, (宗教)仪式, 礼节adj.典礼的, (宗教)仪式的
	rival	5raivEl	n.竞争者, 对手v.竞争, 对抗, 相匹敌
	river	5rivE	n.河, 江
	road	rEud	n.路, 道路, 公路, 大道
	roar	rC:	n.吼叫, 怒号vi.吼叫, 怒号v.滚动, 咆哮
	roast	rEust	v.烤, 烘, 烘烤, 暴露于某种热力下以得温暖
	rob	rCb	v.抢夺, 抢掠, 剥夺
	robe	rEub	n.长袍, 罩衣, 礼服, 制服
	robot	5rEubCt, 5rCbEt	n.机器人, 遥控设备, 自动机械, 机械般工作的人
	robust	rE5bQst	adj.精力充沛的
	rock	rCk	n.岩石, 暗礁, 石头, 摇动vt.摇摆, 使动摇vi.摇, 摇动
	rocket	5rCkit	n.火箭v.飞速上升
	rod	rCd	n.杆, 棒
	role	rEul	n.角色, 任务
	roll	rEul	adj.滚动, 滚转, (使)摇摆, (使)摇晃, 卷起, 卷拢vt.辗, 轧n.(一)卷, 卷形物, 摇晃, 摆动, 名单
	romance	rE5mAns, rEu-	n.冒险故事, 浪漫史, 传奇文学, 风流韵事, 虚构vi.写传奇, 渲染, 虚构
	romantic	rE5mAntik	adj.传奇式的, 浪漫的, 空想的, 夸大的
	roof	ru:f	n.屋顶, 房顶, 顶
	room	ru:m, rum	n.房间, 屋子, 寓所, 场所, 地位, 空间, 机会, 余地
	root	ru:t	n.根, 根部, 根本, 根源v.(使)生根, (使)扎根, 使立定不动, 坚定不移, 确立
	rope	rEup	n.绳, 索, 绳索v.围起
	rose	rEuz	n.蔷薇属, 玫瑰, 玫瑰红 vbl.rise的过去式
	rot	rCt	v.(使)腐烂, (使)腐败n.腐烂, 腐败
	rotary	5rEutEri	adj.旋转的
	rotate	rEu5teit	v.(使)旋转
	rotten	5rCtn	adj.腐烂的, 恶臭的, 堕落的, (岩石等)风化的, 虚弱的, 无用的
	rough	rQf	adj.粗糙的, 粗略的, 大致的, 粗野的, 粗暴的, 粗略叙述的v.大体描述adv.粗糙地
	round	raund	n.圆, 圆形物, 巡回, 轮唱, [体]一轮adj.圆的, 球形的, 丰满的, 大概的, 十足的, 完全的, 率直的, 肥胖的prep.围着, 附近, 绕过, 在...周围vt.弄圆, 使成圆形, 绕行, 完成, 围捕, 四舍五入vi.变圆, 发胖, 环行, 拐弯, 进展adv.围绕着, 循环地, 在周围, 迂回地, 朝反方向, 挨个
	roundabout	5raundEbaut	adj.迂回的, 转弯抹角的n.道路交叉处的环形路, 迂回路线, 兜圈子的话
	rouse	rauz	v.唤醒, 激起, 使振奋, 惊起n.觉醒, 奋起
	route	ru:t	n.路线, 路程, 通道v.发送
	routine	ru:5ti:n	n.例行公事, 常规, 日常事务, 程序
	row	rau	n.排, 行v.划(船)
	royal	5rCiEl	adj.王室的, 皇家的, 第一流的, 高贵的
	royalty	5rCiElti	n.皇室, 王权
	rub	rQb	v.擦, 摩擦rt. (_ along) 和谐相处, (_ off) 擦掉, 擦破, (_ out) 把(记号,笔记,笔迹等)擦掉
	rubber	5rQbE	n.橡皮, 橡胶
	rubbish	5rQbiF	n.垃圾, 废物, 废话
	ruby	5ru:bi	n.红宝石
	rude	ru:d	adj.粗鲁的, 无礼的, 猛烈的, 残暴的, 粗鲁无礼的
	rug	rQ^	n.(小)地毯, 垫子
	ruin	" 5ru:in;ruin;"	v.(使)破产, (使)堕落, 毁灭n.毁灭, 崩溃, 废墟, 遗迹
	rule	ru:l	n.规则, 惯例, 统治, 章程, 破折号, 准则, 标准, 控制vt.规定, 统治, 支配, 裁决vi.统治, 管辖, 裁定n.规则, 水线
	ruler	5ru:lE	n.统治者, 管理者, 尺, 直尺n.标尺, 划线板, 划线的人
	rumor	5ru:mE	n.流言, 谣言, 传闻vt.谣传, 传闻
	rumour	5ru:mE	n.[亦作rumor] 谣言, 传闻v.谣传
	run	rQn	n.跑, 赛跑, 奔跑, 运转, 趋向vi.跑, 奔, 逃跑, 竞选, 跑步, 蔓延, 进行, 行驶vt.使跑, 参赛, 追究, 使流, 管理, 运行, 开动adj.熔化的, 融化的, 浇铸的vbl.run的过去式和过去分词
	rural	5rJEr(E)l	adj.乡下的, 田园的, 乡村风味的, 生活在农村的
	rush	rQF	n.匆促, 冲进, 急流, 灯芯草vi.冲, 奔, 闯, 赶紧, 涌现vt.使冲, 匆忙地做, 突袭, 飞跃, 用 灯芯草做adj.急需的
	rust	rQst	n.铁锈vt.(使)生锈
	ruthless	5ru:WlIs	adj.无情的, 残忍的
	sack	sAk	n.大袋, 大袋之量, 麻布袋, 短而松的袍装, 布袋装, 洗劫vt.解雇, 装入袋, 洗劫, 就寝
	sacred	5seikrid	adj.神的, 宗教的, 庄严的, 神圣的
	sacrifice	5sAkrifais	n.牺牲, 献身, 祭品, 供奉v.牺牲, 献出, 献祭, 供奉
	sad	sAd	adj.忧愁的, 悲哀的
	saddle	5sAdl	n.鞍, 鞍状物v.承受
	safe	seif	n.保险箱, 饭橱, 菜橱, 冷藏室adj.免受攻击的, 安全的, 可靠的, 有把握的
	safeguard	5seif7^B:d	vt.维护, 保护, 捍卫n.安全装置, 安全措施
	safety	5seifti	n.安全, 保险, 安全设备, 保险装置
	sail	seil	v.航行(于)vi.启航, 开船n.帆, 篷, 航行
	sailor	5seilE	n.海员, 水手, 不大会晕船的人, 船员
	saint	seint, sEnt	n.圣人, 道德崇高的人, 圣徒adj.神圣v.成为圣徒
	sake	seik	n.为了...之好处, 出于对...的兴趣, 缘故, 理由, 日本米酒
	salad	5sAlEd	n.色拉
	salary	5sAlEri	n.薪水vt.给...加薪
	sale	seil	n.出售, 卖出, 贱卖, 廉价出售, 销路, 销售额
	salesman	5seilzmEn	n.售货员, 推销员
	salt	sC:lt	n.食盐, 风趣, 刺激adj.含盐的, 咸的, 风趣的, 辛辣的vt.加盐于, 用盐腌
	salute	sE5lu:t, -5lju:t	n.(尤指军队等之)举手礼, 升降旗致敬, 呜礼炮等, 敬礼v.行礼致敬, 敬礼
	salvation	sAl5veiFEn	n.拯救, 救助
	same	seim	adj.同一的, 相同的, 无变化的, 上述的, 所谓pron.同样的事物adv.同样地
	sample	5sAmpl	n.标本, 样品, 例子vt.取样, 采样, 抽取...的样品, 试验的一部分, 尝试
	sanction	5sANkFEn	n.批准, 同意, 支持, 制裁, 认可v.批准, 同意, 支持, 鼓励, 认可
	sand	sAnd	n.沙, 沙子,沙滩, 沙地v.撒沙子
	sandwich	5sAnwidV, -tF	n.夹心面包, 三明治vt.夹入中间v.做成三明治
	sane	sein	adj.健全的
	sarcastic	sB:5kAstik	adj.讽刺的
	satellite	5sAtElait	n.人造卫星
	satire	5sAtaiE	n.讽刺文学, 讽刺
	satisfaction	7sAtis5fAkFEn	n.满意, 满足, 令人满意的事物
	satisfactory	7sAtis5fAktEri	adj.满意的, 赎罪的
	satisfy	5sAtisfai	vt.满足, 使满意, 说服, 使相信v.满意, 确保
	saturate	5sAtFEreit	v.使饱和, 浸透, 使充满
	Saturday	5sAtEdi	n.星期六
	sauce	sC:s	n.沙司, 酱油, 调味料vt.调味, 使增加趣味
	saucer	5sC:sE	n.茶托, 碟子, 茶碟
	sausage	5sCsidV	n.香肠, 腊肠
	savage	5sAvidV	adj.野蛮的, 未开化的, 凶猛的, 残忍的vt.用暴力对付n.原始的人, 粗鲁的人
	save	seiv	vt.解救, 保存, 保全, 保留, 节省, 储蓄vi.挽救, 节省, 救球prep.除...之外n.救球
	saving	5seiviN	n.存款, 挽救, 救助, 节约adj.搭救的, 挽救的, 节约的, 节俭的, 保留的, 补偿的prep.除...之外, 考虑到
	saw	sC:	n.锯v.锯vbl.see的过去式
	say	sei	v.说, 讲, 背诵, 念, 表示, 比方说, 假定n.话语, 想说的意见, 发言权
	scale	skeil	n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量
	scan	skAn	v.细看,审视,浏览,扫描n.扫描
	scandal	5skAndl	n.丑行,丑闻,诽谤,耻辱,流言蜚语
	scar	skB:	n.伤痕,疤痕v.结疤,使留下伤痕,创伤
	scarce	skZEs	adj.缺乏的, 不足的, 稀有的, 不充足的
	scarcely	5skZEsli	adv.几乎不, 简直没有
	scare	skZE	v.惊吓, 受惊, 威吓n.惊恐, 恐慌, 恐惧
	scarf	skB:f	n.围巾, 头巾领巾, 嵌接, 嵌接处, 切口v.围(围巾), 披(头巾)嵌接
	scatter	5skAtE	v.分散, 散开, 撒开, 驱散
	scene	si:n	n.现场, 场面, 情景, 景色, 发生地点, [戏剧]一场, 布景, 道具布置
	scenery	5si:nEri	n.风景, 景色
	scent	sent	n.气味, 香味, 香水, 线索, 嗅觉, 臭迹vt.闻出, 嗅, 发觉, 循着遗臭追踪, 使充满气味vi.嗅猎, 发出气味
	schedule	" 5skedVjul;5Fedju:l;"	n.时间表, 进度表v.确定时间
	scheme	ski:m	n.安排, 配置, 计划, 阴谋, 方案, 图解, 摘要v.计划, 设计, 图谋, 策划
	scholar	5skClE	n.学者
	scholarship	5skClEFip	n.奖学金, 学问, 学识
	school	sku:l	n.学校, 学院, 学习, 授课, 求学, 全体学生, 学派vt.锻炼, 教育
	science	5saiEns	n.科学, 自然科学, 理科
	scientific	saiEn5tifik	adj.科学的
	scientist	5saiEntist	n.科学家
	scissors	5sizEz	n.剪刀
	scold	skEuld	v.责骂, 申斥, 斥责
	scope	skEup	n.(活动)范围, 机会, 余地
	score	skC:, skCE	n.得分, 乐谱, 抓痕, 二十, 终点线, 刻痕, 帐目, 起跑线vt.把...记下, 刻划, 划线, 获得, 评价vi.记分, 刻痕, 得分
	scorn	skC:n	n.轻蔑, 嘲笑, 被叱责的人vt.轻蔑, 不屑做
	scout	skaut	n.侦察, 搜索, 侦察员, 侦察机vi.守候, 侦察, 巡视, 嘲笑vt.侦察, 跟踪, 觅得, 监视, 轻蔑地拒绝(建议,意见等)
	scramble	5skrAmbl	n.爬行, 攀缘, 抢夺, 混乱vi.攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙vt.攀登, 搅乱, 使混杂
	scrap	skrAp	n.小片, 废料, 剪下来的图片, 文章, 残余物, 废料, 打架vt.扔弃, 敲碎, 拆毁vi.互相殴打adj.零碎的, 废弃的
	scrape	skreIp	n.刮, 擦, 擦痕, 刮擦声, 困境vi.刮掉, 擦掉, 刮出刺耳声vt.刮, 擦, 擦伤, 挖成
	scratch	skrAtF	n.乱写, 刮擦声, 抓痕, 擦伤vt.乱涂, 勾抹掉, 擦, 刮, 搔, 抓, 挖出vi.发刮擦声, 搔, 抓adj.打草稿用的, 凑合的
	scream	skri:m	v.尖声叫, 尖声喊叫n.尖叫声, 喊叫声
	screen	skri:n	n.屏, 银幕, 筛子, 掩蔽物, 屏风vt.掩蔽, 包庇, 放映, 拍摄, 筛vi.拍电影
	screw	skru:	n.螺丝钉, 螺旋, 螺杆, 螺孔, 螺旋桨, 吝啬鬼vt.调节, 旋, 加强, 压榨, 强迫, 鼓舞vi.转动, 旋, 拧
	script	skript	n.手稿, 手迹, 剧本, 考生的笔试卷, 原本
	scrutiny	5skru:tini	n.详细审查
	sculpture	5skQlptFE	n.雕刻, 雕刻品, 雕塑, 雕塑品, [地理] 刻蚀v.雕刻, 雕塑, 刻蚀
	sea	si:	n.海洋, 大浪, 大量, 许多
	seal	si:l	n.封铅, 封条, 印, 图章, 密封vt.封, 密封n.海豹, 海豹毛皮
	seam	si:m	n.接缝, 线缝, 缝合线, 衔接口, 伤疤, 层vt.缝合, 接合, 焊合, 使留下伤痕vi.裂开, 发生裂痕
	search	sE:tF	n.搜寻, 查究v.搜索, 搜寻, 探求, 调查
	seaside	5si:said	n.海滨(胜地), 滨海城镇, 海边adj.海边的, 海滨的
	season	5si:zn	n.季, 季节v.(使)适应, (使)适用, 调味
	seat	si:t	n.座, 座位, 所在地, 场所, 席位vt.使坐下
	second	5sekEnd	n.秒, 片刻, 第二者, 第二人, 助手, 次货, 二等品adj.另一个, 又一个num.第二vt.赞成, 支持
	secondary	5sekEndEri	adj.次要的, 二级的, 中级的, 第二的
	secret	5si:krit	n.秘密, 秘诀, 奥秘adj.秘密的, 隐秘的, 幽静的、
	secretary	5sekrEtri	n.秘书, 书记, 部长, 大臣
	section	5sekFEn	n.部分, 断片, 部件, 节, 项, 区, 地域, 截面
	sector	5sektE	n.部分, 部门, [计]扇区, 地区, 象限, 扇形v.使分成部分, 把...分成扇形
	secure	si5kjuE	adj.安全的, 可靠的, 放心的, 无虑的v.保护
	security	si5kjuEriti	n.安全
	see	si:	v.看, 看见, 了解, 领会, 注意, 留心, 经历, 阅历
	seed	si:d	n.种子, 萌芽, 原由, 根据, 子孙, 精液vt.播种, 结实, 成熟, 去...籽vi.结实, 播种
	seek	si:k	v.寻找, 探索, 寻求
	seem	si:m	vi.象是, 似乎
	seemingly	5si:mINlI	adv.表面上地
	segment	5se^mEnt	n.段, 节, 片断v.分割
	segregate	5se^ri^eit	v.隔离
	seize	si:z	v.抓住, 逮住, 夺取vt.没收, 查封
	seldom	5seldEm	adv.很少, 不常
	select	si5lekt	vt.选择, 挑选adj.精选的
	selection	si5lekFEn	n.选择, 挑选, 选集, 精选品
	self	self	n.自己, 自我, 本性, 本质, 本人, 私心vt.使近亲繁殖, [植]使自花授精vi.[植]自花授精adj.同一的
	selfish	5selfiF	adj.自私的
	sell	sel	v.出售, 卖
	semester	si5mestE	n.学期
	semiconductor	5semikEn5dQktE	n.[物] 半导体
	seminar	5seminB:	n.研究会, 讨论发表会
	senate	5senit	n.参议院, 上院
	senator	5senEtE	n.参议员, (大学的)评议员, (古罗马的)元老院议员
	send	send	vt.送, 寄, 发送, 派遣, 打发
	senior	5si:njE	adj.年长的, 资格较老的, 地位较高的, 高级的
	sensation	sen5seiFEn	n.感觉, 感情, 感动, 耸人听闻的
	sense	sens	n.官能, 感觉, 判断力, 见识, ...感, 意义, 理性vt.感到, 理解, 认识
	sensible	5sensEbl	adj.有感觉的, 明智的, 有判断力的
	sensitive	5sensitiv	adj.敏感的, 灵敏的, 感光的
	sentence	5sentEns	n.句子, 判决, 宣判, 文句vt.宜判, 判决
	sentiment	5sentimEnt	n.情操, 情感, 情绪, 观点, 多愁善感, 感情
	separate	5sepEreit	adj.分开的, 分离的, 个别的, 单独的v.分开, 隔离, 分散, 分别
	September	sEp5tembE	n.九月(略作Sep)
	sequence	5si:kwEns	n.次序, 顺序, 序列
	serial	5siEriEl	adj.连续的
	series	5siEri:z	n.连续, 系列, 丛书, 级数
	serious	5siEriEs	adj.严肃的, 认真的, 严重的
	servant	5sE:vEnt	n.仆人
	serve	sE:v	v.当仆人, 服务, 服役, 供职, 招待, 侍候, 供应, 适合n.发球
	service	5sE:vis	n.服务, 服务性工作, 服役, 仪式vt.保养, 维修adj.(军队)服现役的, 服务性的, 仆人的, 耐用的
	session	5seFEn	n.会议, 开庭
	set	set	v.放, 置, 移动到, 使(人或事物处于某种状态), 提出, 树立, 规定, 调整n.一套, 一副, 一批, 接受机, 装置, 趋势, 布景adj.固定的, 规定的, 坚决的, 固执的, 事先做好的
	setback	5setbAk	n.顿挫, 挫折, 退步, 逆流, (疾病的)复发
	setting	5setiN	n.安置, 安装, (太阳)落山, (固定东西的)框架, 底座
	settle	5setl	n.有背的长凳vt.安放, 使定居, 安排, 解决, 决定, 整理, 支付, 使平静vi.安家, 定居, 停留, 下陷, 沉淀, 决定, 澄清
	settlement	5setlmEnt	n.沉降, 解决, 结算, 殖民, 殖民地
	seven	5sevEn	num.七, 七个
	several	5sevErEl	adj.几个, 个别的, 单独的pron.几个
	severe	si5viE	adj.严厉的, 严格的, 剧烈的, 严重的, 严峻的
	sew	sju:	v.缝制, 缝纫, 缝合
	sex	seks	n.性别, 男性或女性, 性欲, <口>性交, <俚>生殖器, 阴茎vt.区别...的性别, 引起...的性欲
	shabby	5FAbi	adj.破旧的, 褴褛的, 低劣的, 卑鄙的, 不公平的
	shade	Feid	n.荫, 阴暗, 荫凉处, 图案阴影, 黑暗, 颜色深浅, 遮光物, 帘vi.渐变vt.遮蔽, 使阴暗, 使渐变, 微减
	shadow	5FAdEu	n.阴影, 影子, 影像, 预兆, 庇护, 隐蔽处, 阴暗, 少许vt.遮蔽, 使朦胧, 预示, 尾随vi.渐变, 变阴暗
	shady	5Feidi	adj.成荫的, 多荫的, 阴暗的
	shaft	FB:ft	n.轴, 杆状物
	shake	Feik	v.摇动, 摇, 颤抖, 震动n.摇动, 摇, 颤抖, 震动
	shall	FAl, FEl, Fl	v.aux.将, 会
	shallow	5FAlEu	adj.浅的, 浅薄的
	sham	FAm	v.佯装n.伪品adj.虚假的
	shame	Feim	n.羞耻, 羞愧, 可耻的人(或事物)
	shampoo	FAm5pu:	n.洗发精, 洗发香波, 洗发vt.洗头, 洗发
	shape	Feip	n.外形, 形状, 形态, (尤指女子的)体形, 身段, 形式vt.制作, 定形, 使成形, 塑造, 使符合vi.成形, 形成, 成长
	share	FZE	n.共享, 参与, 一份, 部分, 份额, 参股vt.分享, 均分, 共有, 分配vi.分享[计] 使DOS支持文件共享和锁定
	shark	FB:k	n.[鱼]鲨鱼, 骗子<俚>内行, 专家v.敲诈
	sharp	FB:p	n.高调, 内行, 利刃, 骗子adj.锐利的, 锋利的, 明显的, 强烈的, 刺耳的, 急剧的, 精明的, 敏捷的adv.整, 锐利地, 急速地日本夏普公司
	shatter	5FAtE	n.粉碎, 碎片, 落花(叶,粒等)vt.打碎, 使散开, 粉碎, 破坏vi.粉碎, 损坏, 落叶
	shave	Feiv	v.剃, 刮, 削刮vt.刨, 削n.刮脸
	she	Fi:, Fi	pron.[主格]她
	shear	FiE	v.剪, 修剪, 剪切
	shed	Fed	vt.流出, 发散, 散发, 脱落, 脱皮, 摆脱n.分水岭, 棚, 小屋, 工棚, 货棚v.把...放入棚内, 流下
	sheep	Fi:p	n.羊, 绵羊, 羞答答的人, 胆小鬼, 信徒
